iter	Logloss
0	0.6897092219
1	0.6876837549
2	0.6847384058
3	0.6828420369
4	0.6817192644
5	0.6803957403
6	0.6776095104
7	0.6737483278
8	0.672178524
9	0.6695631011
10	0.6668999347
11	0.6638538278
12	0.6617842077
13	0.6594886274
14	0.6572815062
15	0.6555191246
16	0.6550535307
17	0.6537002147
18	0.6535636303
19	0.6524932609
20	0.6512889044
21	0.6502806397
22	0.6492636665
23	0.6491543532
24	0.6489978311
25	0.6488199201
26	0.6484453824
27	0.6483777778
28	0.6482237766
29	0.6480590045
30	0.6465148675
31	0.6454412134
32	0.645277358
33	0.6437397905
34	0.6424440722
35	0.6423354464
36	0.6421631117
37	0.6418486162
38	0.6417171499
39	0.6404873557
40	0.6403135696
41	0.6401070125
42	0.6399764629
43	0.6376343233
44	0.636624187
45	0.6352921836
46	0.6352411555
47	0.6351014009
48	0.634476153
49	0.6342910995
50	0.6342454186
51	0.6334409992
52	0.633321717
53	0.6330356384
54	0.6329250265
55	0.6328058589
56	0.6326399027
57	0.6315136163
58	0.631426685
59	0.631261722
60	0.6311288807
61	0.6309514661
62	0.6308476528
63	0.6307456728
64	0.6297921794
65	0.629697571
66	0.6284726657
67	0.6282870393
68	0.6281535105
69	0.6278146467
70	0.6277666359
71	0.6277010174
72	0.6275459085
73	0.6273491293
74	0.6272443611
75	0.6271016273
76	0.6269606506
77	0.6258158396
78	0.6257019429
79	0.6250794451
80	0.6243527519
81	0.6241886673
82	0.6240742359
83	0.6240441766
84	0.6238985019
85	0.6229227409
86	0.6227476562
87	0.6227065969
88	0.6225667659
89	0.6224429768
90	0.6222634233
91	0.6221816866
92	0.6220599981
93	0.6219493098
94	0.6218583299
95	0.6217877078
96	0.6215937549
97	0.6215226745
98	0.6214182883
99	0.6212749817
100	0.621159137
101	0.6210358444
102	0.6209754967
103	0.6208314261
104	0.6207456026
105	0.6206314385
106	0.6205456531
107	0.6204714789
108	0.6204017353
109	0.6203059811
110	0.6202067512
111	0.6198346962
112	0.6197548692
113	0.6196566323
114	0.6195643921
115	0.6194390751
116	0.619351189
117	0.6192312957
118	0.6188380045
119	0.6187992368
120	0.6187292641
121	0.618616666
122	0.6181686799
123	0.6180275503
124	0.6168643677
125	0.6162491269
126	0.6161370635
127	0.6160470003
128	0.6153578908
129	0.6152713797
130	0.6151870457
131	0.6151550386
132	0.6150842637
133	0.6150064992
134	0.6149090644
135	0.6148157547
136	0.6146964725
137	0.6146233296
138	0.6145569471
139	0.6144656617
140	0.6143733832
141	0.6143076119
142	0.6142190765
143	0.6140851657
144	0.6139952935
145	0.6139098519
146	0.6138117678
147	0.6137299928
148	0.6136267525
149	0.6135409671
150	0.6134664873
151	0.6133496114
152	0.6133049236
153	0.6132229959
154	0.6131647107
155	0.6130753732
156	0.6129240456
157	0.6128322255
158	0.6127478533
159	0.6126816618
160	0.6126219252
161	0.6125506539
162	0.6124509656
163	0.6123387494
164	0.6122963151
165	0.6122415056
166	0.6121328798
167	0.6120190977
168	0.6119584062
169	0.6118998919
170	0.6117380226
171	0.6116716783
172	0.6116064799
173	0.6115083958
174	0.6110809585
175	0.6110393644
176	0.6108524776
177	0.6107653935
178	0.6102473965
179	0.6102058024
180	0.6101297949
181	0.6100694854
182	0.6100165857
183	0.6099640679
184	0.6098709109
185	0.6097944451
186	0.6096789442
187	0.6096150826
188	0.6095446515
189	0.6094705155
190	0.6093881676
191	0.6093190734
192	0.6092141906
193	0.6091412768
194	0.6090845577
195	0.6090053036
196	0.6089321606
197	0.6088629136
198	0.6088064236
199	0.6087143742
