iter	Passed	Remaining
0	91	9083
1	97	4757
2	100	3262
3	104	2496
4	107	2033
5	109	1709
6	111	1479
7	113	1303
8	115	1164
9	117	1054
10	119	963
11	120	887
12	122	819
13	123	761
14	125	710
15	126	664
16	127	623
17	129	587
18	130	555
19	131	526
20	132	499
21	136	484
22	138	462
23	139	441
24	140	421
25	141	403
26	143	386
27	144	371
28	145	356
29	147	343
30	148	330
31	149	318
32	151	307
33	152	296
34	153	285
35	155	276
36	156	266
37	157	257
38	159	248
39	160	240
40	161	232
41	163	225
42	164	218
43	166	211
44	167	204
45	168	198
46	169	191
47	171	185
48	172	179
49	173	173
50	175	168
51	176	162
52	177	157
53	178	152
54	180	147
55	181	142
56	182	137
57	184	133
58	185	128
59	186	124
60	187	120
61	189	115
62	190	111
63	191	107
64	192	103
65	194	100
66	195	96
67	197	92
68	198	89
69	199	85
70	201	82
71	202	78
72	203	75
73	204	71
74	206	68
75	207	65
76	209	62
77	211	59
78	212	56
79	213	53
80	214	50
81	216	47
82	217	44
83	218	41
84	219	38
85	221	35
86	222	33
87	223	30
88	225	27
89	226	25
90	228	22
91	229	19
92	230	17
93	231	14
94	233	12
95	234	9
96	235	7
97	236	4
98	238	2
99	239	0
